optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration|slot|block_hash
f|9660|1306|100652|4394|116013|5994931|0xff1868c8dc5418ed40811c1d0493fcbcefccd8e852ef43df67a02d6a442efe22
f|28763|1998|193244|11818|235826|5992408|0xe8e470dfc2ca95755901d9af20e5444babb51d6e935b7f65e5720c72e8f57494
f|38438|2892|164134|13603|219068|5992845|0x730ffb0e8eb223174f41afd66253b59a894d7f626bea3b8c4d5822204ada1b0c
f|111969|1412|291276|77216|481875|5994938|0xdcdae1144aeea12140a48c1fdc8e0d91ef5f1bf3ce1a14e48724ade23a17e35e
f|10583|1910|182999|8144|203638|5993093|0x4b54215b6ca81ea83e4b8d416a65a6eaabd938f434b3ace0f122f175fcfc10f5
f|18031|2069|111459|11860|143421|5992415|0x8116868668b9ddd0223e6f85384a24bbf3aee27fd786b0ed21b402180291621a
f|11617|2017|128247|6835|148718|5992415|0x8116868668b9ddd0223e6f85384a24bbf3aee27fd786b0ed21b402180291621a
f|8776|1702|137976|4227|152683|5995205|0xbc90fe2761f113df90df5c2fbdca4d0e5b1ba170c33b6940890bcdfa238cb9f0
f|13003|1967|128366|6673|150010|5992488|0xa992069c5a4fe3d21522f529e591a6c0b9d05ac82891d69c60ba22bbbac1659b
f|102512|78114|132907|31105|344640|5992623|0x6eda3688b4eda723799452697eb44f468ed74588bd3e85970ff736d22c479268
f|114682|1775|86482|14731|217672|5992419|0x7130da3c31fa21eb0c85cfad5d282fd2a91a120e64d4504f7c8781d1c14fa45e
f|19326|1968|124006|7454|152756|5992490|0x740919bd31de390afc851d4a7258061e8b186c9ebd5563d42435840be543f14b
f|14956|1811|92228|6571|115567|5992421|0x96ec1a8793a29ae3f9e7347e288d9fdb8caa042e09a151cf7661b7f82fb4e256
f|9838|1566|165077|7003|183486|5992675|0xa1d2a142be9df9eb0b102e38e3e221a902e5b8fc4d56cb57e7088d9c65440386
f|84591|1602|133665|5828|225688|5992493|0x1506210c216fa3fac5996ec72eb49e8a3d25e341d3f4a8d5704f723410bd4029
f|121951|1616|187202|11183|321954|5992749|0xad12718ab9ca8473ef3b6cecd776a153ad5e408933c0207829ebe2ba786981e6
f|126980|1979|135622|6668|271250|5992426|0xecc5eb9e8f7080fd2ce5ec5e9863de83a51c88b853233bd57d92219854335b39
f|6180|1627|87820|8581|104210|5992527|0xf7354a7cdd5a00d7f3b18cf4362bd9cac310098ee79c369f93f7371cbf158daf
f|107989|1775|80220|6842|196828|5992437|0x25f582e2a3e3c06c7d6714c34d990c0898bbc6b2289416f66ff48d5684b65eb5
f|88440|2217|97716|6907|195282|5992758|0x00177f390d921319b15f8b8083d45bf57dea166d08b6baaf48c7443a8cc53ead
f|147607|3273|142028|7130|300040|5992529|0xffcced2b29dfca6f4d65495bcf9c87070c9fef3383979ff68244d573aeeb655e
f|105821|1657|134848|6931|249258|5992760|0x60c10e3747847ad8c2ec9804a484c06bd3935912f8a9837626dc05430daba840
f|13090|1608|181509|10130|206337|5992438|0x04c621da8cb791c34a35f24bbe7d4b18a3ffec66576950146c50655842d12822
f|17022|1905|182813|18235|219976|5992649|0x291e291f985f76ddf639fb2f2ef025e94d1a1c906697d4579fc9f8eacfbe55fe
f|18528|1985|149141|12645|182300|5992452|0xd23a144d11cbb0f74580b8969a9d1060920005786a7cee34d021d56c62842e86
f|11121|16874|73709|45120|146826|5992864|0x522211ddda5d32124ddceaf1295f6bd600b802831d0c902935a83f59d1d66716
