received_at|slot|value|simulation_duration|total_duration
2023-03-1318:48:47.770622|5992442|26212876239025836|149172|168341
2023-03-1318:48:59.931142|5992443|44782439376756993|145869|254446
2023-03-1318:47:48.069702|5992437|43889887620438925|114323|224456
2023-03-1318:49:34.997685|5992446|25883614899726878|125512|240518
2023-03-1318:49:23.411197|5992445|83660585597466622|176358|327904
2023-03-1318:48:47.669728|5992442|26212876239025836|133652|153301
2023-03-1318:49:47.706675|5992447|107135873051431956|109986|132163
2023-03-1318:50:01.120231|5992448|42288366154558616|139577|381846
2023-03-1318:51:23.951208|5992455|62788021441734598|121546|267347
2023-03-1318:50:24.464268|5992450|876984349258707762|179753|251845
2023-03-1318:50:47.279787|5992452|117602723751369010|155469|192185
2023-03-1318:51:47.152062|5992457|1990319958231851838|113192|130385
2023-03-1318:51:11.664021|5992454|102724621079820669|127745|246775
2023-03-1318:53:47.143592|5992467|125625036205998063|148332|275458
2023-03-1318:51:59.917728|5992458|82946942161251998|142446|271114
2023-03-1318:52:00.174533|5992458|82946942161251998|172761|209697
2023-03-1318:53:00.789453|5992463|62992423968821066|122393|148325
2023-03-1318:54:11.561579|5992469|37284354987667254|111542|217888
2023-03-1318:53:11.89896|5992464|66727638601176880|175403|386641
2023-03-1318:53:11.906661|5992464|66727638601176880|178084|383128
2023-03-1318:52:11.166508|5992459|62018234511885643|115645|233049
2023-03-1318:56:00.090171|5992478|42490511235311787|133066|148338
2023-03-1318:55:12.081363|5992474|84954257177268656|129256|267692
2023-03-1318:54:24.416368|5992470|38267244220956072|155371|184022
2023-03-1318:54:24.176954|5992470|38267244220956072|140843|419141
2023-03-1318:54:24.297909|5992470|38267244220956072|294405|0
2023-03-1318:56:48.188082|5992482|37464691294637139|93940|166179
2023-03-1318:54:24.186934|5992470|38267244220956072|206906|272577
2023-03-1318:56:58.321801|5992483|96986892580115166|141449|263444
2023-03-1318:54:59.482216|5992473|128773786412011168|146953|170980
2023-03-1318:55:35.968008|5992476|36592439513405908|130095|151568
2023-03-1318:57:24.366654|5992485|314890407668783671|170595|200095
2023-03-1318:57:48.698366|5992487|106097593957524329|181489|207126
2023-03-1318:58:12.291687|5992489|48795878839341032|108170|135474
2023-03-1318:58:12.301534|5992489|48795878839341032|151688|175887
2023-03-1318:58:49.485558|5992492|214219444644229784|124107|157476
2023-03-1318:58:23.001631|5992490|82070364632904987|124006|152756
2023-03-1318:57:59.62803|5992488|67005871531961584|138298|165887
2023-03-1318:58:59.205781|5992493|68420278144919622|133799|228837
2023-03-1318:59:11.362992|5992494|448282161003229755|133824|253181
2023-03-1318:59:36.088953|5992496|67326711392244928|106341|232712
2023-03-1319:00:36.404493|5992501|249260615420474890|194242|219488
2023-03-1318:59:35.677141|5992496|67326711392244928|130198|154333
2023-03-1318:59:35.989725|5992496|67326711392244928|116488|145000
2023-03-1318:59:36.096133|5992496|67326711392244928|123961|148110
2023-03-1318:59:35.75214|5992496|67326711392244928|169146|190691
2023-03-1318:59:35.773377|5992496|67326711392244928|173570|192535
2023-03-1318:59:36.016572|5992496|67326711392244928|137260|160697
2023-03-1318:59:35.882307|5992496|67326711392244928|152068|174066
2023-03-1319:00:59.923162|5992503|99675518171304962|81981|244558
2023-03-1318:59:59.281274|5992498|130183886830531335|68748|88007
2023-03-1318:59:23.622081|5992495|95222811213753456|122537|157164
2023-03-1319:01:34.889574|5992506|565464886097994368|128949|160592
2023-03-1319:01:35.289626|5992506|565464886097994368|129715|232570
2023-03-1319:01:34.895391|5992506|565464886097994368|176410|217971
2023-03-1319:01:35.436142|5992506|565464886097994368|156913|182486
2023-03-1319:01:34.732685|5992506|565464886097994368|171310|198783
2023-03-1319:01:35.502669|5992506|565464886097994368|118239|139235
2023-03-1319:01:34.782764|5992506|565464886097994368|133422|282318
2023-03-1319:04:48.462733|5992522|55861986491558292|125210|145918
2023-03-1319:01:35.051624|5992506|565464886097994368|130642|156384
2023-03-1319:01:34.938306|5992506|565464886097994368|141501|280932
2023-03-1319:01:34.624752|5992506|565464886097994368|153501|311700
2023-03-1319:01:34.964289|5992506|565464886097994368|219766|329772
2023-03-1319:01:35.091695|5992506|565464886097994368|133559|269817
2023-03-1319:01:35.195821|5992506|565464886097994368|128299|155934
2023-03-1319:01:35.240445|5992506|565464886097994368|140116|181659
2023-03-1319:01:35.704496|5992506|565464886097994368|128852|367450
2023-03-1319:01:35.443464|5992506|565464886097994368|123826|372447
2023-03-1319:01:35.523035|5992506|565464886097994368|149045|435954
2023-03-1319:01:35.860592|5992506|565464886097994368|161900|259639
2023-03-1319:01:35.968518|5992506|565464886097994368|98838|202580
2023-03-1319:01:58.988234|5992508|357272427114117264|266312|328880
2023-03-1319:02:49.175414|5992512|70105781047952193|110117|177791
