inserted_at,received_at
01:13:58.457951,01:13:58.337302
01:13:59.20829,01:13:59.14798
01:13:59.949599,01:13:59.875597
01:14:00.689406,01:14:00.619494
01:14:01.559013,01:14:01.359408
01:16:51.254926,01:16:51.117439
01:16:48.971735,01:16:48.948232
01:16:49.629066,01:16:49.611795
01:16:50.487391,01:16:50.25287
01:16:53.938795,01:16:53.615873
01:16:52.037664,01:16:51.893666
01:16:52.948904,01:16:52.709415
01:16:54.85607,01:16:54.599539
01:16:55.76494,01:16:55.516062
01:16:56.997866,01:16:56.485638
01:16:57.928411,01:16:57.659923
01:16:58.857054,01:16:58.593064
01:16:59.819486,01:16:59.521276
01:17:16.910017,01:17:16.754779
01:17:13.996646,01:17:13.952128
01:17:14.690693,01:17:14.647601
01:17:12.607937,01:17:12.564268
01:17:13.305909,01:17:13.254824
01:17:15.391428,01:17:15.339109
01:17:16.098125,01:17:16.040133
01:17:17.721148,01:17:17.559919
01:17:18.543696,01:17:18.374344
01:17:20.250298,01:17:20.059721
01:17:19.397917,01:17:19.203059
01:17:22.835695,01:17:22.640258
01:17:24.677086,01:17:24.470542
01:17:21.106335,01:17:20.920026
01:17:21.965009,01:17:21.776232
01:17:23.724147,01:17:23.51032
01:17:51.860665,01:17:51.724994
01:17:49.598895,01:17:49.574865
01:17:50.244539,01:17:50.220927
01:17:51.008326,01:17:50.866205
01:17:52.625288,01:17:52.485559
01:17:53.393285,01:17:53.253906
01:17:54.166663,01:17:54.027277
01:17:54.951482,01:17:54.802283
01:17:55.724421,01:17:55.581936
01:17:56.509145,01:17:56.366492
01:17:57.27903,01:17:57.141523
01:17:58.056275,01:17:57.911924
01:17:58.842352,01:17:58.692524
01:17:59.62479,01:17:59.48038
01:18:00.410468,01:18:00.260735
01:18:36.822323,01:18:36.805011
01:18:37.472637,01:18:37.445324
01:18:38.122861,01:18:38.095232
01:18:38.819852,01:18:38.749163
01:18:39.578464,01:18:39.447521
01:18:40.342712,01:18:40.206841
01:18:41.107122,01:18:40.973449
01:18:42.648487,01:18:42.506786
01:18:43.425811,01:18:43.283686
01:18:41.878213,01:18:41.737006
01:18:44.201868,01:18:44.059548
01:18:44.993229,01:18:44.838246
01:18:45.843757,01:18:45.638517
01:18:47.708629,01:18:47.441909
01:18:46.758539,01:18:46.534362
01:18:48.708142,01:18:48.467375
01:19:16.048407,01:19:15.760729
01:19:13.155485,01:19:12.896884
01:19:14.156868,01:19:13.829446
01:19:15.08682,01:19:14.828318
01:19:17.262652,01:19:16.724934
01:19:18.207413,01:19:17.943459
01:19:23.288294,01:19:22.984565
01:19:24.287932,01:19:24.00477
01:19:19.338974,01:19:19.074899
01:19:20.315609,01:19:20.019829
01:19:21.245741,01:19:21.010698
01:19:22.26313,01:19:21.962074
01:20:28.791868,01:20:28.763029
01:20:26.211658,01:20:26.1938
01:20:26.849662,01:20:26.833186
01:20:27.489874,01:20:27.472375
01:20:28.134821,01:20:28.112256
01:20:29.435412,01:20:29.412928
01:20:30.084045,01:20:30.059676
01:20:30.740744,01:20:30.710474
01:20:31.426148,01:20:31.396381
01:20:32.082837,01:20:32.052016
01:20:34.197495,01:20:34.136778
01:20:32.741026,01:20:32.710529
01:20:33.508197,01:20:33.39633
01:20:35.66614,01:20:35.526504
01:20:36.415923,01:20:36.333568
01:20:34.862756,01:20:34.830177
01:20:37.236515,01:20:37.053727
01:20:37.93454,01:20:37.879231
01:21:38.806044,01:21:38.783172
01:21:39.47604,01:21:39.430414
01:21:36.849636,01:21:36.830637
01:21:37.509749,01:21:37.490121
01:21:38.156962,01:21:38.135232
01:21:45.151303,01:21:45.051101
01:21:45.91879,01:21:45.808051
01:21:46.664985,01:21:46.550245
01:21:40.157969,01:21:40.104746
01:21:40.836281,01:21:40.787168
01:21:41.487542,01:21:41.463321
01:21:42.140707,01:21:42.116693
01:21:42.883832,01:21:42.773487
01:21:43.549536,01:21:43.51578
01:21:44.396584,01:21:44.2128
01:21:47.336288,01:21:47.296131
01:21:48.117945,01:21:47.977057
01:21:48.934517,01:21:48.754193
01:22:27.270135,01:22:27.219524
01:22:27.93383,01:22:27.899917
01:22:28.59994,01:22:28.56736
01:22:29.295122,01:22:29.231884
01:22:24.559478,01:22:24.535748
01:22:25.232088,01:22:25.202288
01:22:25.898643,01:22:25.857224
01:22:26.574476,01:22:26.526009
01:22:29.960044,01:22:29.926012
01:22:30.703371,01:22:30.594489
01:22:31.437373,01:22:31.352269
01:22:32.178935,01:22:32.088865
01:22:33.610546,01:22:33.567837
01:22:35.941848,01:22:35.774674
01:22:32.922867,01:22:32.835437
