decode_duration|pg_column_size
113222|94806
324882|94614
166894|97304
301019|97246
387880|97644
112001|104257
141383|104890
310450|98038
177809|105528
173957|106191
316571|105922
136127|106729
127184|107974
95738|108276
307728|107914
93497|108501
95587|108705
130139|110153
96529|110498
289372|109206
111989|103571
118966|104313
276258|104633
120050|107184
35953|24750
24995|24757
12184|24926
13925|26079
10773|26461
18094|26415
10913|27448
13956|27746
12804|28439
12722|28785
37384|32014
105545|92883
124742|79235
106999|99933
13641|30263
17211|30398
14428|31420
13971|31361
13340|31599
92424|78598
100074|118668
172849|118424
101028|120323
95877|120754
106033|100123
101671|118807
122260|118647
97920|118964
93225|119263
95659|119815
122777|119948
111044|120106
172666|119451
35814|10302
131753|120602
100949|120915
126944|120744
99631|121063
171224|120537
101394|122890
101861|123203
123837|123431
7467|2134
194|3321
14796|3778
224|5427
21727|4929
18732|9006
40227|11155
5071|13906
20701|14026
57242|14159
21401|14591
64355|15417
16123|12058
43320|11679
10953|12220
58587|13865
109484|41404
85578|41611
245880|41356
88135|54352
84604|54483
121010|55058
7391|16476
135110|30591
213466|28842
102069|35745
112377|36668
401681|36052
113048|37069
152469|37210
395552|37338
100427|37722
113001|38904
84799|39106
85634|39526
240592|39155
107045|39337
83687|39978
111885|39919
199389|39907
86172|40262
154028|40368
83782|40563
85318|41020
84015|41176
84547|41724
37012|14025
21558|16048
86168|16413
72453|17699
33428|18418
44431|18028
18055|19236
151626|28174
101619|31441
95215|32081
182373|31959
96581|34879
96786|35660
182756|35487
100308|36445
103351|40509
160474|36848
107388|41142
151861|41779
107088|41789
106591|41931
152927|42515
112973|47321
122634|50715
164102|50752
110361|52733
144721|52916
117807|52916
125457|53962
168160|53812
123711|54109
86414|55301
144405|55072
175413|55072
86341|55784
91355|56231
141204|56003
86600|56466
79337|56732
173959|56514
184938|64781
171931|65512
129365|66355
200943|65858
146481|67199
134697|67517
190381|67459
182537|67459
142290|68575
202435|69009
128915|70241
172885|70431
139347|70438
176292|70624
100613|72456
20056|72663
253469|70616
121503|71220
173723|71230
162508|71230
138427|71423
173560|71431
143726|71934
121797|72276
328125|71936
149501|72722
132792|72473
90924|72916
159149|72733
119230|71005
93729|71398
120362|72534
16927|28061
20062|28470
30627|28432
40334|29174
88924|72715
164124|70944
179|5914
157|6893
18861|18045
31102|18103
11628|18071
37046|18524
12058|19949
17443|19570
13002|20810
23630|20753
31808|24332
20766|24284
16529|25470
16005|25582
20916|25624
19218|25811
115340|33739
89969|34899
30713|30381
53466|30294
34162|30778
23024|30782
15947|31286
87134|34683
3319|28617
100766|239469
105733|422547
119502|39129
82536|39343
88471|39161
80497|39647
79493|39628
80755|39801
118022|39432
82088|39999
80316|40172
144240|39996
80640|40641
120498|40443
89811|40791
81113|41160
92345|41098
82572|41304
119225|40777
83039|41451
100|2905
240|3704
185|3951
315|3999
260|4899
392|4857
342|6196
439|6430
16013|6740
417|8104
19471|8421
11560|14299
14492|14274
8859|18440
11343|18795
11494|19727
27264|20436
9275|20495
11807|21722
8699|21907
14634|24292
20594|24273
15697|24457
11507|24641
119296|24643
8100|25383
19462|25553
22092|25696
16759|26039
13251|25869
17396|26020
21973|26194
3322|26424
2148|26586
10552|26184
22143|26367
1033|26841
2497|26993
23545|26608
1441|27270
1379|28330
40063|28110
29323|29131
84026|43653
83906|43848
26382|30154
80524|44486
217|8530
9781|9019
257|9704
11566|9874
11538|15970
699|10024
17224|13602
12019|13762
6407|13642
5755|14068
6123|14222
10834|14764
8125|14218
7748|15971
3972|16142
7589|16467
25036|17793
8738|18641
10921|19251
14397|19091
14733|21015
6439|21178
11753|21771
15591|21920
189989|172989
11641|21940
10529|22403
29441|22504
11260|22655
16170|23025
18636|23031
19163|24090
13252|26068
11797|26741
82092|41572
82391|56572
136742|41354
88180|124712
94829|172923
102582|237720
101853|237847
81475|49201
106688|48738
108880|38362
103137|38780
105652|195947
100232|237256
89520|237489
215407|237002
89755|237624
103944|238278
101737|238399
174208|238188
245308|243850
119038|268017
104556|32353
91279|32379
132211|32353
91550|33360
80918|34153
104967|34438
80267|34975
103914|35159
74822|35675
81463|36032
104370|35982
81529|41133
105723|41079
91086|41450
105596|42224
81665|42278
105655|42644
81766|42688
81603|43855
104984|43797
80528|44310
82463|46143
106319|46216
108609|46216
91933|47004
107409|47101
82370|47467
94733|47278
106952|47389
81033|47471
120227|48119
82125|48394
80116|48220
108392|48037
80779|48394
83115|48583
81535|48977
82682|49000
112124|53165
99918|55810
108254|38770
82235|38943
84028|39774
107913|39753
108753|43098
94160|43843
92500|44323
109473|44318
102277|45391
109915|45333
86180|45834
109280|47387
87144|48390
86240|48644
111540|48637
111373|48914
96168|49294
111616|52482
108135|52467
111253|52482
104106|53166
86118|53415
85672|58669
87402|58923
86899|58882
86941|59160
359|6967
11438|7310
315|7276
8814|13822
86043|56028
110464|56136
85385|56146
86798|56371
87221|58427
84562|56826
113431|58422
1883|21396
10243|21631
2549|21616
1526|13335
11454|14323
1564|15119
11325|18674
2347|18675
668|19044
11956|20528
2153|20521
10531|21026
10277|21408
9045|22110
2141|22114
1034|36151
106752|131469
99212|174648
122677|168763
87940|216217
97269|216595
138528|216586
107684|229070
97115|229316
99979|229509
137350|229269
106204|245044
109897|245302
106831|245626
91229|245399
105586|245993
139696|245684
106382|245766
100919|246168
106149|246160
102932|246382
138943|246016
98891|247147
117273|247345
72804|247555
90486|247773
108193|248016
142616|247894
112|1633
255|1805
153|2613
178|3139
225|6132
312|5748
324|11124
314|11076
10235|12899
328|12490
9747|13188
251|13501
10474|13786
11398|12548
469|17063
41341|17540
11594|13281
383|13564
10758|14931
10458|17192
527|17100
9925|17706
573|17497
11010|18160
438|18470
103285|31435
104160|30581
103395|30831
90949|32048
81692|33108
80522|33359
80535|33867
81463|34155
83845|34573
200156|34453
80502|34780
80980|34583
81012|35266
105326|34972
80187|35418
82456|35613
33935|36759
101196|36986
81087|38117
76404|38307
88560|38881
80345|39419
80725|39722
80998|39904
79998|40393
1572|35764
101157|35567
99923|35965
101069|35838
100599|36790
81420|28949
81313|31690
103537|31670
81025|32064
80859|32628
90721|40588
77214|43699
81419|43859
4309|24552
22821|24591
3946|25190
10605|25225
4161|25830
11164|25885
10034|26769
4166|26484
9624|28350
3411|28331
80207|28551
102663|28931
106374|32607
85580|65303
108857|44410
85143|65625
89216|67016
114055|65612
88059|67266
110536|67990
89027|68308
99866|175465
130331|175214
99979|232612
105814|233606
100962|237917
112103|238426
142706|232985
103881|239261
204660|239077
106120|240022
102049|39126
81075|39745
163520|40012
103118|40611
81662|41332
273571|41445
106708|238910
101365|239156
130409|238907
146077|239097
172015|239304
117651|239963
109830|240838
103967|241092
106784|242510
190642|23680
90690|24789
78995|25971
210360|25534
80376|26507
225685|26660
79420|27219
115655|30004
221333|30019
79508|32680
97119|33818
236240|33804
80776|34818
80981|37144
