read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
65|0|211532|396|2389|14|12969|227329|t
58|0|168569|371|2610|12|64657|236242|t
93|0|182978|597|2528|45|12768|198939|t
3386|0|177130|391|2694|16|11504|191758|t
61|0|238796|263|2945|11|10874|252913|t
59|0|104537|386|2823|66833|34914|209515|f
71|0|103875|460|2503|62903|13523|183291|f
50|0|334702|306|2377|14|346107|683524|t
62|0|2451|201216|3057|10|6961|213896|t
71|0|5288|369|4413|15|9112|19219|t
14013|0|18981|385|2296|13|6178|27872|t
41|0|2583|437|2325|8|6526|11902|t
60|0|7566|347|2781|14|5607|16338|t
72|0|78018|400|2833|6|6401|87679|t
101|0|12075|372|2391|19|6283|21158|t
80|0|10212|420|2866|27|6089|19639|t
47|0|8345|397|2272|15|6516|17565|t
73|0|9888|466|3358|15|6469|20217|t
57|0|38645|544|2812|17|7117|49157|t
71|0|12313|383|2544|14|5989|21272|t
55|0|108227|448|2936|10|6402|118051|t
93|0|87123|337|2563|18|7123|97211|t
73|0|107342|411|2976|7|7479|118247|t
66|0|83399|404|2328|13|6961|93130|t
70|0|108301|416|2466|12|6658|117872|t
54|0|84838|394|2833|6|7494|95589|t
60|0|110008|407|2529|18|7234|120221|t
130|0|86138|424|2721|10|8490|97803|t
60|0|111543|377|2396|15|8219|122574|t
56|0|109628|405|2580|15|6815|119463|t
62|0|85174|351|2729|19|7581|95872|t
52|0|112045|494|3149|15|9719|125447|t
56|0|86313|466|3234|31|7952|98020|t
64|0|111070|383|2836|18|12016|126342|t
71|0|130647|409|2475|19|11422|144993|t
80|0|175495|324|2733|15|9648|188232|t
96|0|171869|410|2360|26|10643|185331|t
62|0|210083|762|2691|18|101768|315347|t
106|0|198753|652|5508|12|196075|401057|t
75|0|199736|496|6023|9|111122|317412|t
46|0|123485|370|2548|14|10691|137131|t
72|0|180010|364|22060|31|13251|215742|t
332|0|131574|570|2806|22|13522|148517|t
84|0|105666|351|4297|95875|9516|215745|f
45|0|38473|326|3252|63237|15827|121137|f
62|0|102596|425|2300|60977|12367|178701|f
58|0|121150|440|2747|15|12214|136589|t
56|0|202920|386|2755|13|11827|217925|t
62|0|103933|341|73042|97426|17143|291906|f
52|0|109362|558|3381|64810|31245|209378|f
58|0|126969|397|2792|8|15800|145990|t
57|0|174303|386|2493|14|35079|212298|t
39|0|173390|5280|2952|9|403454|585102|t
65|0|174680|269|2736|24|700535|878264|t
64|0|104607|23980|2883|195159|703436|1030120|f
40|0|104246|159595|5839|114266|603058|987120|f
100|0|102141|100383|99658|102541|706405|1111152|f
79|0|100486|98467|99230|202772|610648|1111623|f
776|0|98050|5312|4250|194236|703526|1005395|f
47|0|102855|1897|94187|12|711643|910618|t
52|0|91162|5395|92645|14|611041|800278|t
56|0|103974|4687|93068|99418|798282|1099453|f
74|0|103915|5901|100797|89478|815459|1115572|f
55|0|201111|1460|93613|12|510359|806576|t
64|0|103260|2160|95989|198626|603344|1003412|f
7101|0|35934|387|2467|21|5485|44314|t
7331|0|36130|366|2295|7|5228|44067|t
64|0|7756|407|3242|16|4945|16387|t
6717|0|49970|399|2577|16|5874|58862|t
48|0|2073|444|3235|16|5358|11147|t
7403|0|50674|376|2198|10|4761|58037|t
7054|0|57126|325|2667|13|4801|64953|t
74|0|9483|383|2265|14|5297|17465|t
7111|0|57941|338|2596|17|5339|66253|t
7580|0|64933|392|2563|14|5238|73161|t
7705|0|104881|356|2487|17|6031|113791|t
14812|0|21554|400|2419|15|6567|30976|t
7604|0|104933|335|2597|16|6022|113930|t
94|0|11538|520|2835|32|4973|19950|t
7903|0|79883|389|2270|14|6307|88882|t
3299|0|37684|477|2484|13|6241|46920|t
79|0|14025|425|2580|8|5546|22612|t
7304|0|110032|380|2530|16|5953|118935|t
45|0|11689|430|2208|20|6525|20893|t
6839|0|83453|369|2471|16|6258|92585|t
3521|0|51379|400|2503|15|5717|60042|t
76|0|11472|447|2797|37|7083|21863|t
5857|0|90413|440|2361|27|6691|99956|t
66|0|9855|405|2499|15|7109|19914|t
6371|0|96596|437|2513|33|7649|107255|t
6061|0|101545|449|2836|25|10306|115182|t
61|0|14000|440|3608|19|8263|26366|t
4128|0|61844|371|3896|22|5882|72035|t
47|0|13944|413|2258|23|6981|23649|t
3855|0|80055|346|2404|19|6667|89510|t
43|0|20201|566|2232|9|8068|31098|t
5215|0|80684|597|3087|8|94786|179184|t
67|0|100318|680|5983|11|8232|115249|t
94|0|81426|393|2502|39387|8239|131992|f
3419|0|73508|324|2767|13|7891|84524|t
49|0|83323|423|2332|51245|7754|145106|f
89|0|82551|399|2341|44813|8229|138353|f
54|0|95527|355|2520|7|7439|105875|t
5269|0|154882|392|2497|30|8014|165834|t
3377|0|68966|234|2870|7|6742|78837|t
4577|0|80713|428|2561|19|6915|90674|t
43|0|15732|419|2429|7|6920|25549|t
3119|0|62859|348|2355|13|6874|72471|t
57|0|107228|453|3148|12|101486|212352|t
90|0|99721|439|2792|7|12790|115768|t
2743|0|74820|508|3241|9|7475|86076|t
40|0|93110|412|2740|17|6783|103082|t
3229|0|64687|401|2352|16|7911|75390|t
52|0|87705|410|2921|14|9024|100096|t
3010|0|67858|359|2460|13|8009|78715|t
71|0|80319|393|2545|39023|7588|129889|f
81|0|80710|465|2583|36462|6453|126715|f
120|0|81759|406|2781|39957|6699|131622|f
3013|0|67276|347|2327|13|7665|77648|t
57|0|91610|271|2491|15|28255|122659|t
44|0|104105|765|2899|27|8478|116295|t
55|0|68256|2428|3331|44659|8975|127672|f
54|0|83363|432|3008|48804|9015|144661|f
74|0|92586|374|2655|24|9416|105088|t
58|0|83036|199|2024|59057|7068|151401|f
2429|0|72525|354|2230|11|16872|92015|t
61|0|83272|386|2699|50025|8842|145248|f
65|0|83154|457|2443|45372|8572|140020|f
2733|0|77834|544|2352|22|31352|112130|t
1809|0|83639|494|3143|23|8656|95989|t
44|0|83451|575|2444|64378|7626|158512|f
60|0|202702|2186|3736|28|500455|709145|t
78|0|155968|1540|3407|23|292415|453387|t
55478|0|356180|1203|3188|9|110954|471556|t
46|0|150253|150480|35420|10|199150|535362|t
90|0|102886|3338|3320|23|390470|500105|t
720|0|154300|371|2575|13|14592|171913|t
14208|0|152084|517|3147|24|14604|170403|t
