read_header_duration|decode_duration
2503|129106
2595|106268
2437|126752
3786|112194
3835|126808
2543|158138
2457|127247
2354|108986
2545|129487
2751|85214
2882|99058
2787|128154
2428|99225
2526|96302
6591|127192
2498|106629
3563|86220
2143|96210
2415|100540
2651|184555
2405|125102
2451|129895
2481|128022
3738|84872
2975|132905
2595|141873
2674|86156
2777|102274
2232|2423
2287|2652
2653|3052
2828|3657
2779|3143
2396|3196
2357|2845
1990|2427
2818|3139
2354|2759
2513|3432
2238|2719
2486|2882
2327|2756
2924|3401
2254|2734
2363|3318
15142|15516
2432|2993
2393|3112
15293|16865
2432|3150
4871|5977
2475|3192
2561|3331
12808|113029
2874|119834
2522|105406
2528|119309
2606|140250
2164|109500
2565|120882
2714|91878
2641|120954
2504|118851
3180|113366
2541|120474
2506|93123
3207|142172
2557|120674
3317|121673
3581|99643
2551|119949
2686|91429
2402|117073
3548|99737
2894|104894
6217|112207
104050|317332
5880|93369
3679|105660
2012|100324
2651|122056
3411|91687
2728|119721
2441|5836
2236|2504
2552|3034
3985|4466
3008|3482
2654|3109
2550|2964
2729|3042
3245|3701
3193|3955
2076|2485
2264|2566
2572|2929
4148|4597
14655|15276
2218|14039
2237|13345
4364|5064
4004|5190
2541|2877
2336|2669
2468|74290
2645|3452
2586|21909
8319|9357
2576|35148
2553|15639
2654|21868
2302|21353
3773|11173
2974|69341
37747|61363
3542|32867
14501|15233
2298|34869
2595|18687
2486|56348
2427|73081
2587|21852
36678|86003
2691|13271
3029|31547
2398|45956
2590|45819
3896|40013
2166|48100
3584|24798
23208|41276
2552|43906
3370|14626
2182|2980
2649|37945
2625|39355
2545|54714
2713|3494
2319|45838
2641|30289
2324|3223
2402|28866
21974|41745
2415|45270
2423|349300
2401|126450
16547|425130
2887|324488
21014|450988
16551|226154
2575|307654
18010|435150
3308|318595
16172|426895
2685|176042
2884|177014
2526|136985
2892|450464
2553|129826
2950|171524
2730|125641
2745|176495
2475|141811
2519|292568
3693|108187
13938|502129
3502|116719
2530|177062
2812|127774
2674|124022
2889|127397
4021|99210
2487|129796
28649|167992
2513|125339
15292|187428
2671|131377
8775|503834
3648|110393
2696|169371
2447|168906
2546|118173
13154|114947
2285|121044
2581|92228
2722|122078
2794|118710
2302|97221
2467|122085
3006|93010
2662|93732
2823|118081
2643|122354
2650|98338
2813|94362
2641|95218
3581|86806
2569|95214
2407|124392
2660|123471
1990|92645
4020|95205
3135|308102
2714|93096
2898|125155
2583|168597
2588|121639
2361|110295
2589|121434
3344|228755
2583|126652
2494|96121
2646|120789
3032|94452
2299|122324
2710|94918
4153|163578
2132|133563
2398|125310
4333|126008
2446|122607
2735|121645
3128|86845
2671|123658
13325|116274
