read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
57|96548|2262|282|2469|66009|10510|178102|f
50|173155|2426|260|3372|16|67613|246862|t
45|82356|2330|332|2545|80716|95940|264247|f
4959|5843|273|390|2603|15|5420|14566|t
14155|14944|256|364|2283|13|4804|22682|t
61|616|284|497|2434|15|4347|8217|t
105|5151|435|405|2827|24|11276|20142|t
13656|18360|560|369|3089|18|7083|29499|t
76|4313|671|438|4486|15|6204|16155|t
42|12597|495|427|2351|13|5240|21149|t
48|13564|853|562|2866|5|7394|25262|t
56|14939|737|438|2681|16|7002|25837|t
61|14347|575|441|2257|10|8281|25934|t
120|16217|664|446|2393|15|6860|26620|t
40|16143|767|390|2261|13|6273|25872|t
78|17728|616|558|2771|15|5883|27592|t
83|11376|497|390|2314|3|5217|19823|t
45|10453|564|371|2514|9|4948|18886|t
56|11926|449|317|2437|15|6205|21373|t
60|12510|603|419|2580|19|5564|21715|t
47|8908|636|313|2513|7|5948|18345|t
40|12016|622|381|2538|16|5184|20780|t
97|9808|809|399|3763|22|7003|21830|t
57|10836|628|365|2550|12|5951|20368|t
47|13803|656|356|3057|16|5452|23362|t
51|11831|714|385|1979|7|6047|20999|t
43|14138|657|320|2746|17|6534|24437|t
45|13837|496|404|2744|20|6370|23896|t
49|12472|653|343|2955|8|6333|22787|t
45|15323|726|500|2473|15|7288|26347|t
40|13254|780|419|2258|14|14042|30800|t
54|80900|980|348|2932|46128|5975|137287|f
71|76101|921|397|2526|45736|7165|132878|f
80|79979|1025|491|2565|48595|8073|140763|f
53|18902|767|353|2438|8|6789|29280|t
14862|99336|684|364|2746|17|6982|110150|t
73|113428|1008|444|3717|35|8450|127107|t
59|86747|1095|363|2522|32|7344|98133|t
43|115322|993|419|3670|20|9959|130413|t
59|88533|747|442|2508|15|7737|100004|t
40|115188|996|406|2538|18|7869|127040|t
64|90430|739|420|2284|27|7489|101411|t
45|114808|1178|385|2765|15962|5884|141010|t
51|88915|1021|387|2498|16|7350|100213|t
60|80945|1339|1066|3530|50312|11725|148949|f
39|115471|915|394|2262|13|8133|127208|t
51|83129|1691|421|5649|54146|9991|155072|f
73|80975|1499|358|4603|64286|11367|163134|f
4954|131933|983|329|2672|16|7876|143828|t
14023|113064|1089|130876|3839|12|9838|258741|t
73|129244|1709|243|3554|8|101017|235797|t
39|166981|1124|477|3201|12|98796|270615|t
62|115336|632|260|2045|5|9343|127637|t
75|81210|785|395|2572|50346|7914|143249|f
53|80397|1058|421|3144|48215|7971|141233|f
40|115164|1046|379|2464|14|6571|125669|t
47|91320|789|348|2512|14|6456|101467|t
55|82074|758|342|2629|49788|6392|142101|f
106|80481|1039|390|2356|49108|7782|141174|f
39|114812|821|337|1984|5|10327|128306|t
61|83270|1449|237|2945|52244|8402|148584|f
54|87411|1011|357|2088|6|8103|98999|t
474|83389|1062|556|2534|50648|8143|146354|f
39|117236|977|357|3194|19|7726|129535|t
112|80894|1046|325|2870|48227|6988|140374|f
52|91029|1051|330|2485|8|11809|106736|t
54|200697|1490|1078|3458|9|102378|309132|t
51|105718|55323|507|3425|12|99566|264581|t
53|100373|1508|431|3732|10|96497|202572|t
63|100365|1513|869|3498|11|402449|508741|t
62|203307|1557|373|4852|9|98041|308175|t
94|99900|1773|496|4283|10|96873|203357|t
76|99489|1597|300|3735|8|198556|303707|t
2307|195973|4102|95585|100174|12|498371|894264|t
100|98486|1966|3796|3714|9|294848|402839|t
56|100077|1730|409|3792|11|95498|201546|t
5443|185688|1711|3176|3177|9|198011|391798|t
55|98049|1661|449|3020|9|101756|204968|t
37|143496|36512|441|3363|8|11005|194846|t
71|100025|1626|1119|2751|10|395253|500809|t
53|125962|1814|1144|3621|8|83262|215831|t
4246|5384|330|397|2545|16|5623|14314|t
70|12452|776|423|2473|13|6496|22665|t
12800|25473|776|417|2587|16|8994|38282|t
1558|98680|1799|461|3316|9|99357|203652|t
55|140109|1862|430|2451|15|10503|155389|t
71|110493|1866|399|2525|21|9804|125132|t
59|149863|2586|369|4499|11|15293|172644|t
76|109638|3850|678|3352|29|12567|130137|t
61|147348|1423|342|2883|34|10990|163040|t
58|116127|1940|420|2462|15|10061|131051|t
66|147278|2112|333|2517|14|10907|163183|t
56|111916|2276|285|28353|92|11259|154203|t
48|112087|2018|394|3027|16|10726|128307|t
60|147076|1479|1701|3910|58|85514|239761|t
82|119298|2485|439|2615|7|11524|136390|t
49|150550|2010|298|3427|8|93785|250097|t
68|91119|3533|266|7730|164312|12481|279463|f
46|84062|1969|362|2658|89834|10520|189425|f
53|113200|1444|338|2478|13|10575|128069|t
41|147085|1645|419|2455|14|10330|161996|t
39|92637|1901|381|2507|93397|10426|201272|f
61|81291|2167|439|2355|98959|10451|195706|f
36|121742|2116|449|3121|20|10341|137844|t
73|152959|2099|400|2523|25|75968|233996|t
53|93349|2179|387|3366|96404|10533|206242|f
65|81934|2426|425|3498|98986|97488|284782|f
74|13056|945|235|2260|6|6837|23357|t
50|14597|762|430|2406|8|7301|25525|t
85|15059|843|415|2572|20|6320|25249|t
78|12310|874|411|2566|17|7192|23389|t
74|15424|865|405|2385|8|7522|26628|t
65|83808|773|453|2504|14|8823|96394|t
